quiz_title,question_type,question_text,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct_answers,explanation,difficulty,tags,source,published,certification,certification_version,domain,module,objective_code,importance,source_name,source_url,permission_status,acceptable_answers,expected_concepts,rubric,rubric_version,answer_match_mode,min_concepts_for_pass,partial_credit
"Module 11 — Windows Administration, Command Line & Client Networking Quiz",single,A company requires laptops to join a traditional on-premises Active Directory domain. A new laptop is running Windows 11 Home. What is the best support conclusion?,The edition does not support traditional Active Directory domain join; use the approved business edition/path,Reset DNS because Home should join a domain after name resolution works,Disable Secure Boot before attempting domain join,Create a local administrator account and retry,,,,,A,Windows 11 Home does not support traditional Active Directory domain join. Use the organization’s approved supported edition/path rather than treating this as a DNS or credential fault.,,"M11Q001,windows_editions,category:windows-editions,Scenario/Application,question_style:scenario-application,question_type:single",,true,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.windows_admin_cli_networking,1.3,job_critical,Existing Nexus validated concept/explanation — adapted to current A+ V15 scenario,,unknown,,,,,,,
"Module 11 — Windows Administration, Command Line & Client Networking Quiz",single,What is the defining support difference of a Windows N edition?,It cannot use NTFS,It omits certain built-in media technologies/features,It cannot run 64-bit applications,It cannot use Windows Update,,,,,B,N editions are special Windows editions that omit certain media-related technologies. They are not a different filesystem or architecture.,,"M11Q002,windows_editions,category:windows-editions,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.windows_admin_cli_networking,1.3,working_knowledge,Existing Nexus validated concept/explanation — adapted to current A+ V15 scenario,,unknown,,,,,,,
"Module 11 — Windows Administration, Command Line & Client Networking Quiz",single,Which built-in command is the quickest way to display the Windows version/build information in a small dialog?,hostname,whoami,winver,gpresult,,,,,C,`winver` displays Windows version/build information. `hostname` and `whoami` answer different identity questions.,,"M11Q003,windows_editions,category:windows-editions,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.windows_admin_cli_networking,1.5,working_knowledge,Existing Nexus validated concept/explanation — adapted to current A+ V15 scenario,,unknown,,,,,,,
"Module 11 — Windows Administration, Command Line & Client Networking Quiz",single,A user reports an application fails every day at 09:00. Which Windows tool is the best first place to inspect time-correlated application/system events?,Device Manager,Disk Management,Certificate Manager,Event Viewer,,,,,D,Event Viewer is designed to inspect Windows event logs and can correlate errors/warnings with the reported time.,,"M11Q004,admin_tools,category:admin-tools,Scenario/Application,question_style:scenario-application,question_type:single",,true,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.windows_admin_cli_networking,1.4,job_critical,Existing Nexus validated concept/explanation — adapted to current A+ V15 scenario,,unknown,,,,,,,
"Module 11 — Windows Administration, Command Line & Client Networking Quiz",single,A maintenance script should have run overnight but did not. Which built-in Windows tool should you inspect first for its trigger and execution history?,Task Scheduler,Device Manager,Disk Cleanup,File Explorer Options,,,,,A,"Task Scheduler exposes scheduled tasks, triggers, actions, status, and history.",,"M11Q005,admin_tools,category:admin-tools,Scenario/Application,question_style:scenario-application,question_type:single",,true,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.windows_admin_cli_networking,1.4,job_critical,Owner-permitted ExamCompass topic concept — source-guided rewrite; no verbatim copying,,unknown,,,,,,,
"Module 11 — Windows Administration, Command Line & Client Networking Quiz",single,A new SSD appears in firmware but not in File Explorer. Which Windows tool should you check to see whether the disk/volume exists and has a usable partition/drive letter?,Event Viewer,Disk Management,Registry Editor,Task Scheduler,,,,,B,"Disk Management shows disks, partitions, volumes, filesystem state, and drive-letter assignments.",,"M11Q006,admin_tools,category:admin-tools,Scenario/Application,question_style:scenario-application,question_type:single",,true,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.windows_admin_cli_networking,1.4,job_critical,Owner-permitted ExamCompass topic concept — source-guided rewrite; no verbatim copying,,unknown,,,,,,,
"Module 11 — Windows Administration, Command Line & Client Networking Quiz",single,Which Windows command changes the current working directory?,dir,md,cd,hostname,,,,,C,`cd` changes the current directory; `dir` lists contents and `md` creates a directory.,,"M11Q007,cli_core,category:cli-core,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.windows_admin_cli_networking,1.5,job_critical,Existing Nexus validated concept/explanation — adapted to current A+ V15 scenario,,unknown,,,,,,,
"Module 11 — Windows Administration, Command Line & Client Networking Quiz",single,You opened a remote command prompt and need to confirm the security context currently running the shell. Which command is most direct?,hostname,net user,winver,whoami,,,,,D,`whoami` identifies the current user/security context.,,"M11Q008,cli_core,category:cli-core,Scenario/Application,question_style:scenario-application,question_type:single",,true,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.windows_admin_cli_networking,1.5,job_critical,Existing Nexus validated concept/explanation — adapted to current A+ V15 scenario,,unknown,,,,,,,
"Module 11 — Windows Administration, Command Line & Client Networking Quiz",single,Which built-in Windows command is designed for robust file/directory copying and supports restartable copy operations?,robocopy,rmdir,format,netstat,,,,,A,`robocopy` is the Windows robust file-copy utility. Verify source and destination before running write operations.,,"M11Q009,cli_core,category:cli-core,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.windows_admin_cli_networking,1.5,job_critical,Owner-permitted ExamCompass topic concept — source-guided rewrite; no verbatim copying,,unknown,,,,,,,
"Module 11 — Windows Administration, Command Line & Client Networking Quiz",single,A user says a Group Policy setting is missing. Which command is best for checking which policies/settings were actually applied before forcing a refresh?,gpupdate,gpresult,sfc,net user,,,,,B,`gpresult` reports resultant/applied Group Policy. `gpupdate` requests a policy refresh rather than proving current application.,,"M11Q010,cli_policy,category:cli-policy,Scenario/Application,question_style:scenario-application,question_type:single",,true,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.windows_admin_cli_networking,1.5,job_critical,Owner-permitted ExamCompass topic concept — source-guided rewrite; no verbatim copying,,unknown,,,,,,,
